page_number,page_id,final_validated_operational_route,storage_decision,loader_decision,blocked_reason,source_member,source_image_sha256,answer_permission,dry_run_only,final_do_not_embed,live_write_enabled,loader_target,raw_tiff_reference,source_truth_mutation_allowed,validator_gated,write_attempted
172,t_p_120_1176_p000172,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
174,t_p_120_1176_p000174,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
175,t_p_120_1176_p000175,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
178,t_p_120_1176_p000178,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
180,t_p_120_1176_p000180,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
187,t_p_120_1176_p000187,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
195,t_p_120_1176_p000195,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
201,t_p_120_1176_p000201,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
217,t_p_120_1176_p000217,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
298,t_p_120_1176_p000298,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
329,t_p_120_1176_p000329,plain_text,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
335,t_p_120_1176_p000335,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
338,t_p_120_1176_p000338,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
341,t_p_120_1176_p000341,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
379,t_p_120_1176_p000379,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
403,t_p_120_1176_p000403,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
430,t_p_120_1176_p000430,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
435,t_p_120_1176_p000435,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
439,t_p_120_1176_p000439,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
446,t_p_120_1176_p000446,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
454,t_p_120_1176_p000454,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
457,t_p_120_1176_p000457,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
460,t_p_120_1176_p000460,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
463,t_p_120_1176_p000463,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
476,t_p_120_1176_p000476,image,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
481,t_p_120_1176_p000481,image,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
482,t_p_120_1176_p000482,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
508,t_p_120_1176_p000508,plain_text,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
