source_link_id,manual_id,publication_number,ata_code,page_sequence,page_label,page_type,title,rescarta_object_id,rescarta_page_id,rescarta_url,source_url,tiff_path,ocr_text_path
t_p_120_1176:t_p_120_1176_p000248,t_p_120_1176,T.P. 120/1176,25-21-00,248,1189,,,t_p_120_1176,000248,http://localhost:8080/rescarta/t_p_120_1176/000248,http://localhost:8080/rescarta/t_p_120_1176/000248,local_data\rescarta_exports\t_p_120_1176\pages\000248_00000248.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000248_00000248.txt
t_p_120_1176:t_p_120_1176_p000249,t_p_120_1176,T.P. 120/1176,25-21-00,249,1190,,,t_p_120_1176,000249,http://localhost:8080/rescarta/t_p_120_1176/000249,http://localhost:8080/rescarta/t_p_120_1176/000249,local_data\rescarta_exports\t_p_120_1176\pages\000249_00000249.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000249_00000249.txt
t_p_120_1176:t_p_120_1176_p000250,t_p_120_1176,T.P. 120/1176,25-21-00,250,1191,,,t_p_120_1176,000250,http://localhost:8080/rescarta/t_p_120_1176/000250,http://localhost:8080/rescarta/t_p_120_1176/000250,local_data\rescarta_exports\t_p_120_1176\pages\000250_00000250.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000250_00000250.txt
t_p_120_1176:t_p_120_1176_p000251,t_p_120_1176,T.P. 120/1176,25-21-00,251,1192,,,t_p_120_1176,000251,http://localhost:8080/rescarta/t_p_120_1176/000251,http://localhost:8080/rescarta/t_p_120_1176/000251,local_data\rescarta_exports\t_p_120_1176\pages\000251_00000251.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000251_00000251.txt
t_p_120_1176:t_p_120_1176_p000252,t_p_120_1176,T.P. 120/1176,25-21-00,252,1193,,,t_p_120_1176,000252,http://localhost:8080/rescarta/t_p_120_1176/000252,http://localhost:8080/rescarta/t_p_120_1176/000252,local_data\rescarta_exports\t_p_120_1176\pages\000252_00000252.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000252_00000252.txt
t_p_120_1176:t_p_120_1176_p000253,t_p_120_1176,T.P. 120/1176,25-21-00,253,1194,,,t_p_120_1176,000253,http://localhost:8080/rescarta/t_p_120_1176/000253,http://localhost:8080/rescarta/t_p_120_1176/000253,local_data\rescarta_exports\t_p_120_1176\pages\000253_00000253.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000253_00000253.txt
t_p_120_1176:t_p_120_1176_p000254,t_p_120_1176,T.P. 120/1176,25-21-00,254,1195,,,t_p_120_1176,000254,http://localhost:8080/rescarta/t_p_120_1176/000254,http://localhost:8080/rescarta/t_p_120_1176/000254,local_data\rescarta_exports\t_p_120_1176\pages\000254_00000254.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000254_00000254.txt
t_p_120_1176:t_p_120_1176_p000255,t_p_120_1176,T.P. 120/1176,25-21-00,255,1196,,,t_p_120_1176,000255,http://localhost:8080/rescarta/t_p_120_1176/000255,http://localhost:8080/rescarta/t_p_120_1176/000255,local_data\rescarta_exports\t_p_120_1176\pages\000255_00000255.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000255_00000255.txt
t_p_120_1176:t_p_120_1176_p000256,t_p_120_1176,T.P. 120/1176,25-21-00,256,1197,,,t_p_120_1176,000256,http://localhost:8080/rescarta/t_p_120_1176/000256,http://localhost:8080/rescarta/t_p_120_1176/000256,local_data\rescarta_exports\t_p_120_1176\pages\000256_00000256.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000256_00000256.txt
t_p_120_1176:t_p_120_1176_p000257,t_p_120_1176,T.P. 120/1176,25-21-00,257,1198,,,t_p_120_1176,000257,http://localhost:8080/rescarta/t_p_120_1176/000257,http://localhost:8080/rescarta/t_p_120_1176/000257,local_data\rescarta_exports\t_p_120_1176\pages\000257_00000257.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000257_00000257.txt
t_p_120_1176:t_p_120_1176_p000258,t_p_120_1176,T.P. 120/1176,25-21-00,258,1199,,,t_p_120_1176,000258,http://localhost:8080/rescarta/t_p_120_1176/000258,http://localhost:8080/rescarta/t_p_120_1176/000258,local_data\rescarta_exports\t_p_120_1176\pages\000258_00000258.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000258_00000258.txt
t_p_120_1176:t_p_120_1176_p000259,t_p_120_1176,T.P. 120/1176,25-21-00,259,1200,,,t_p_120_1176,000259,http://localhost:8080/rescarta/t_p_120_1176/000259,http://localhost:8080/rescarta/t_p_120_1176/000259,local_data\rescarta_exports\t_p_120_1176\pages\000259_00000259.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000259_00000259.txt
t_p_120_1176:t_p_120_1176_p000260,t_p_120_1176,T.P. 120/1176,25-21-00,260,1201,,,t_p_120_1176,000260,http://localhost:8080/rescarta/t_p_120_1176/000260,http://localhost:8080/rescarta/t_p_120_1176/000260,local_data\rescarta_exports\t_p_120_1176\pages\000260_00000260.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000260_00000260.txt
t_p_120_1176:t_p_120_1176_p000261,t_p_120_1176,T.P. 120/1176,25-21-00,261,1202,,,t_p_120_1176,000261,http://localhost:8080/rescarta/t_p_120_1176/000261,http://localhost:8080/rescarta/t_p_120_1176/000261,local_data\rescarta_exports\t_p_120_1176\pages\000261_00000261.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000261_00000261.txt
