source_link_id,manual_id,publication_number,ata_code,page_sequence,page_label,page_type,title,rescarta_object_id,rescarta_page_id,rescarta_url,source_url,tiff_path,ocr_text_path
t_p_120_1176:t_p_120_1176_p000295,t_p_120_1176,T.P. 120/1176,25-21-00,295,1236,,,t_p_120_1176,000295,http://localhost:8080/rescarta/t_p_120_1176/000295,http://localhost:8080/rescarta/t_p_120_1176/000295,local_data\rescarta_exports\t_p_120_1176\pages\000295_00000295.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000295_00000295.txt
t_p_120_1176:t_p_120_1176_p000296,t_p_120_1176,T.P. 120/1176,25-21-00,296,1237,,,t_p_120_1176,000296,http://localhost:8080/rescarta/t_p_120_1176/000296,http://localhost:8080/rescarta/t_p_120_1176/000296,local_data\rescarta_exports\t_p_120_1176\pages\000296_00000296.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000296_00000296.txt
t_p_120_1176:t_p_120_1176_p000297,t_p_120_1176,T.P. 120/1176,25-21-00,297,1238,,,t_p_120_1176,000297,http://localhost:8080/rescarta/t_p_120_1176/000297,http://localhost:8080/rescarta/t_p_120_1176/000297,local_data\rescarta_exports\t_p_120_1176\pages\000297_00000297.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000297_00000297.txt
t_p_120_1176:t_p_120_1176_p000298,t_p_120_1176,T.P. 120/1176,25-21-00,298,1239,,,t_p_120_1176,000298,http://localhost:8080/rescarta/t_p_120_1176/000298,http://localhost:8080/rescarta/t_p_120_1176/000298,local_data\rescarta_exports\t_p_120_1176\pages\000298_00000298.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000298_00000298.txt
t_p_120_1176:t_p_120_1176_p000299,t_p_120_1176,T.P. 120/1176,25-21-00,299,1240,,,t_p_120_1176,000299,http://localhost:8080/rescarta/t_p_120_1176/000299,http://localhost:8080/rescarta/t_p_120_1176/000299,local_data\rescarta_exports\t_p_120_1176\pages\000299_00000299.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000299_00000299.txt
t_p_120_1176:t_p_120_1176_p000300,t_p_120_1176,T.P. 120/1176,25-21-00,300,1241,,,t_p_120_1176,000300,http://localhost:8080/rescarta/t_p_120_1176/000300,http://localhost:8080/rescarta/t_p_120_1176/000300,local_data\rescarta_exports\t_p_120_1176\pages\000300_00000300.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000300_00000300.txt
t_p_120_1176:t_p_120_1176_p000301,t_p_120_1176,T.P. 120/1176,25-21-00,301,1242,,,t_p_120_1176,000301,http://localhost:8080/rescarta/t_p_120_1176/000301,http://localhost:8080/rescarta/t_p_120_1176/000301,local_data\rescarta_exports\t_p_120_1176\pages\000301_00000301.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000301_00000301.txt
t_p_120_1176:t_p_120_1176_p000302,t_p_120_1176,T.P. 120/1176,25-21-00,302,1243,,,t_p_120_1176,000302,http://localhost:8080/rescarta/t_p_120_1176/000302,http://localhost:8080/rescarta/t_p_120_1176/000302,local_data\rescarta_exports\t_p_120_1176\pages\000302_00000302.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000302_00000302.txt
t_p_120_1176:t_p_120_1176_p000303,t_p_120_1176,T.P. 120/1176,25-21-00,303,1244,,,t_p_120_1176,000303,http://localhost:8080/rescarta/t_p_120_1176/000303,http://localhost:8080/rescarta/t_p_120_1176/000303,local_data\rescarta_exports\t_p_120_1176\pages\000303_00000303.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000303_00000303.txt
t_p_120_1176:t_p_120_1176_p000304,t_p_120_1176,T.P. 120/1176,25-21-00,304,1245,,,t_p_120_1176,000304,http://localhost:8080/rescarta/t_p_120_1176/000304,http://localhost:8080/rescarta/t_p_120_1176/000304,local_data\rescarta_exports\t_p_120_1176\pages\000304_00000304.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000304_00000304.txt
t_p_120_1176:t_p_120_1176_p000305,t_p_120_1176,T.P. 120/1176,25-21-00,305,1246,,,t_p_120_1176,000305,http://localhost:8080/rescarta/t_p_120_1176/000305,http://localhost:8080/rescarta/t_p_120_1176/000305,local_data\rescarta_exports\t_p_120_1176\pages\000305_00000305.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000305_00000305.txt
t_p_120_1176:t_p_120_1176_p000306,t_p_120_1176,T.P. 120/1176,25-21-00,306,1247,,,t_p_120_1176,000306,http://localhost:8080/rescarta/t_p_120_1176/000306,http://localhost:8080/rescarta/t_p_120_1176/000306,local_data\rescarta_exports\t_p_120_1176\pages\000306_00000306.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000306_00000306.txt
t_p_120_1176:t_p_120_1176_p000307,t_p_120_1176,T.P. 120/1176,25-21-00,307,1248,,,t_p_120_1176,000307,http://localhost:8080/rescarta/t_p_120_1176/000307,http://localhost:8080/rescarta/t_p_120_1176/000307,local_data\rescarta_exports\t_p_120_1176\pages\000307_00000307.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000307_00000307.txt
t_p_120_1176:t_p_120_1176_p000308,t_p_120_1176,T.P. 120/1176,25-21-00,308,1249,,,t_p_120_1176,000308,http://localhost:8080/rescarta/t_p_120_1176/000308,http://localhost:8080/rescarta/t_p_120_1176/000308,local_data\rescarta_exports\t_p_120_1176\pages\000308_00000308.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000308_00000308.txt
t_p_120_1176:t_p_120_1176_p000309,t_p_120_1176,T.P. 120/1176,25-21-00,309,1250,,,t_p_120_1176,000309,http://localhost:8080/rescarta/t_p_120_1176/000309,http://localhost:8080/rescarta/t_p_120_1176/000309,local_data\rescarta_exports\t_p_120_1176\pages\000309_00000309.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000309_00000309.txt
t_p_120_1176:t_p_120_1176_p000310,t_p_120_1176,T.P. 120/1176,25-21-00,310,1251,,,t_p_120_1176,000310,http://localhost:8080/rescarta/t_p_120_1176/000310,http://localhost:8080/rescarta/t_p_120_1176/000310,local_data\rescarta_exports\t_p_120_1176\pages\000310_00000310.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000310_00000310.txt
t_p_120_1176:t_p_120_1176_p000311,t_p_120_1176,T.P. 120/1176,25-21-00,311,1252,,,t_p_120_1176,000311,http://localhost:8080/rescarta/t_p_120_1176/000311,http://localhost:8080/rescarta/t_p_120_1176/000311,local_data\rescarta_exports\t_p_120_1176\pages\000311_00000311.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000311_00000311.txt
t_p_120_1176:t_p_120_1176_p000312,t_p_120_1176,T.P. 120/1176,25-21-00,312,1253,,,t_p_120_1176,000312,http://localhost:8080/rescarta/t_p_120_1176/000312,http://localhost:8080/rescarta/t_p_120_1176/000312,local_data\rescarta_exports\t_p_120_1176\pages\000312_00000312.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000312_00000312.txt
t_p_120_1176:t_p_120_1176_p000313,t_p_120_1176,T.P. 120/1176,25-21-00,313,1254,,,t_p_120_1176,000313,http://localhost:8080/rescarta/t_p_120_1176/000313,http://localhost:8080/rescarta/t_p_120_1176/000313,local_data\rescarta_exports\t_p_120_1176\pages\000313_00000313.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000313_00000313.txt
t_p_120_1176:t_p_120_1176_p000314,t_p_120_1176,T.P. 120/1176,25-21-00,314,1255,,,t_p_120_1176,000314,http://localhost:8080/rescarta/t_p_120_1176/000314,http://localhost:8080/rescarta/t_p_120_1176/000314,local_data\rescarta_exports\t_p_120_1176\pages\000314_00000314.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000314_00000314.txt
t_p_120_1176:t_p_120_1176_p000315,t_p_120_1176,T.P. 120/1176,25-21-00,315,1256,,,t_p_120_1176,000315,http://localhost:8080/rescarta/t_p_120_1176/000315,http://localhost:8080/rescarta/t_p_120_1176/000315,local_data\rescarta_exports\t_p_120_1176\pages\000315_00000315.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000315_00000315.txt
t_p_120_1176:t_p_120_1176_p000316,t_p_120_1176,T.P. 120/1176,25-21-00,316,1257,,,t_p_120_1176,000316,http://localhost:8080/rescarta/t_p_120_1176/000316,http://localhost:8080/rescarta/t_p_120_1176/000316,local_data\rescarta_exports\t_p_120_1176\pages\000316_00000316.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000316_00000316.txt
t_p_120_1176:t_p_120_1176_p000317,t_p_120_1176,T.P. 120/1176,25-21-00,317,1258,,,t_p_120_1176,000317,http://localhost:8080/rescarta/t_p_120_1176/000317,http://localhost:8080/rescarta/t_p_120_1176/000317,local_data\rescarta_exports\t_p_120_1176\pages\000317_00000317.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000317_00000317.txt
t_p_120_1176:t_p_120_1176_p000318,t_p_120_1176,T.P. 120/1176,25-21-00,318,1259,,,t_p_120_1176,000318,http://localhost:8080/rescarta/t_p_120_1176/000318,http://localhost:8080/rescarta/t_p_120_1176/000318,local_data\rescarta_exports\t_p_120_1176\pages\000318_00000318.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000318_00000318.txt
t_p_120_1176:t_p_120_1176_p000319,t_p_120_1176,T.P. 120/1176,25-21-00,319,1260,,,t_p_120_1176,000319,http://localhost:8080/rescarta/t_p_120_1176/000319,http://localhost:8080/rescarta/t_p_120_1176/000319,local_data\rescarta_exports\t_p_120_1176\pages\000319_00000319.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000319_00000319.txt
t_p_120_1176:t_p_120_1176_p000320,t_p_120_1176,T.P. 120/1176,25-21-00,320,1261,,,t_p_120_1176,000320,http://localhost:8080/rescarta/t_p_120_1176/000320,http://localhost:8080/rescarta/t_p_120_1176/000320,local_data\rescarta_exports\t_p_120_1176\pages\000320_00000320.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000320_00000320.txt
t_p_120_1176:t_p_120_1176_p000321,t_p_120_1176,T.P. 120/1176,25-21-00,321,1262,,,t_p_120_1176,000321,http://localhost:8080/rescarta/t_p_120_1176/000321,http://localhost:8080/rescarta/t_p_120_1176/000321,local_data\rescarta_exports\t_p_120_1176\pages\000321_00000321.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000321_00000321.txt
t_p_120_1176:t_p_120_1176_p000322,t_p_120_1176,T.P. 120/1176,25-21-00,322,1263,,,t_p_120_1176,000322,http://localhost:8080/rescarta/t_p_120_1176/000322,http://localhost:8080/rescarta/t_p_120_1176/000322,local_data\rescarta_exports\t_p_120_1176\pages\000322_00000322.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000322_00000322.txt
t_p_120_1176:t_p_120_1176_p000323,t_p_120_1176,T.P. 120/1176,25-21-00,323,1264,,,t_p_120_1176,000323,http://localhost:8080/rescarta/t_p_120_1176/000323,http://localhost:8080/rescarta/t_p_120_1176/000323,local_data\rescarta_exports\t_p_120_1176\pages\000323_00000323.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000323_00000323.txt
t_p_120_1176:t_p_120_1176_p000324,t_p_120_1176,T.P. 120/1176,25-21-00,324,1265,,,t_p_120_1176,000324,http://localhost:8080/rescarta/t_p_120_1176/000324,http://localhost:8080/rescarta/t_p_120_1176/000324,local_data\rescarta_exports\t_p_120_1176\pages\000324_00000324.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000324_00000324.txt
t_p_120_1176:t_p_120_1176_p000325,t_p_120_1176,T.P. 120/1176,25-21-00,325,1266,,,t_p_120_1176,000325,http://localhost:8080/rescarta/t_p_120_1176/000325,http://localhost:8080/rescarta/t_p_120_1176/000325,local_data\rescarta_exports\t_p_120_1176\pages\000325_00000325.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000325_00000325.txt
t_p_120_1176:t_p_120_1176_p000326,t_p_120_1176,T.P. 120/1176,25-21-00,326,1267,,,t_p_120_1176,000326,http://localhost:8080/rescarta/t_p_120_1176/000326,http://localhost:8080/rescarta/t_p_120_1176/000326,local_data\rescarta_exports\t_p_120_1176\pages\000326_00000326.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000326_00000326.txt
t_p_120_1176:t_p_120_1176_p000327,t_p_120_1176,T.P. 120/1176,25-21-00,327,1268,,,t_p_120_1176,000327,http://localhost:8080/rescarta/t_p_120_1176/000327,http://localhost:8080/rescarta/t_p_120_1176/000327,local_data\rescarta_exports\t_p_120_1176\pages\000327_00000327.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000327_00000327.txt
t_p_120_1176:t_p_120_1176_p000328,t_p_120_1176,T.P. 120/1176,25-21-00,328,1269,,,t_p_120_1176,000328,http://localhost:8080/rescarta/t_p_120_1176/000328,http://localhost:8080/rescarta/t_p_120_1176/000328,local_data\rescarta_exports\t_p_120_1176\pages\000328_00000328.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000328_00000328.txt
t_p_120_1176:t_p_120_1176_p000329,t_p_120_1176,T.P. 120/1176,25-21-00,329,1270,,,t_p_120_1176,000329,http://localhost:8080/rescarta/t_p_120_1176/000329,http://localhost:8080/rescarta/t_p_120_1176/000329,local_data\rescarta_exports\t_p_120_1176\pages\000329_00000329.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000329_00000329.txt
t_p_120_1176:t_p_120_1176_p000330,t_p_120_1176,T.P. 120/1176,25-21-00,330,1271,,,t_p_120_1176,000330,http://localhost:8080/rescarta/t_p_120_1176/000330,http://localhost:8080/rescarta/t_p_120_1176/000330,local_data\rescarta_exports\t_p_120_1176\pages\000330_00000330.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000330_00000330.txt
t_p_120_1176:t_p_120_1176_p000331,t_p_120_1176,T.P. 120/1176,25-21-00,331,1272,,,t_p_120_1176,000331,http://localhost:8080/rescarta/t_p_120_1176/000331,http://localhost:8080/rescarta/t_p_120_1176/000331,local_data\rescarta_exports\t_p_120_1176\pages\000331_00000331.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000331_00000331.txt
t_p_120_1176:t_p_120_1176_p000332,t_p_120_1176,T.P. 120/1176,25-21-00,332,332,,,t_p_120_1176,000332,http://localhost:8080/rescarta/t_p_120_1176/000332,http://localhost:8080/rescarta/t_p_120_1176/000332,local_data\rescarta_exports\t_p_120_1176\pages\000332_00000332.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000332_00000332.txt
t_p_120_1176:t_p_120_1176_p000333,t_p_120_1176,T.P. 120/1176,25-21-00,333,333,,,t_p_120_1176,000333,http://localhost:8080/rescarta/t_p_120_1176/000333,http://localhost:8080/rescarta/t_p_120_1176/000333,local_data\rescarta_exports\t_p_120_1176\pages\000333_00000333.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000333_00000333.txt
t_p_120_1176:t_p_120_1176_p000334,t_p_120_1176,T.P. 120/1176,25-21-00,334,1272c/d,,,t_p_120_1176,000334,http://localhost:8080/rescarta/t_p_120_1176/000334,http://localhost:8080/rescarta/t_p_120_1176/000334,local_data\rescarta_exports\t_p_120_1176\pages\000334_00000334.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000334_00000334.txt
t_p_120_1176:t_p_120_1176_p000335,t_p_120_1176,T.P. 120/1176,25-21-00,335,335,,,t_p_120_1176,000335,http://localhost:8080/rescarta/t_p_120_1176/000335,http://localhost:8080/rescarta/t_p_120_1176/000335,local_data\rescarta_exports\t_p_120_1176\pages\000335_00000335.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000335_00000335.txt
t_p_120_1176:t_p_120_1176_p000336,t_p_120_1176,T.P. 120/1176,25-21-00,336,1273,,,t_p_120_1176,000336,http://localhost:8080/rescarta/t_p_120_1176/000336,http://localhost:8080/rescarta/t_p_120_1176/000336,local_data\rescarta_exports\t_p_120_1176\pages\000336_00000336.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000336_00000336.txt
t_p_120_1176:t_p_120_1176_p000337,t_p_120_1176,T.P. 120/1176,25-21-00,337,1274,,,t_p_120_1176,000337,http://localhost:8080/rescarta/t_p_120_1176/000337,http://localhost:8080/rescarta/t_p_120_1176/000337,local_data\rescarta_exports\t_p_120_1176\pages\000337_00000337.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000337_00000337.txt
t_p_120_1176:t_p_120_1176_p000338,t_p_120_1176,T.P. 120/1176,25-21-00,338,1275,,,t_p_120_1176,000338,http://localhost:8080/rescarta/t_p_120_1176/000338,http://localhost:8080/rescarta/t_p_120_1176/000338,local_data\rescarta_exports\t_p_120_1176\pages\000338_00000338.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000338_00000338.txt
t_p_120_1176:t_p_120_1176_p000339,t_p_120_1176,T.P. 120/1176,25-21-00,339,1276,,,t_p_120_1176,000339,http://localhost:8080/rescarta/t_p_120_1176/000339,http://localhost:8080/rescarta/t_p_120_1176/000339,local_data\rescarta_exports\t_p_120_1176\pages\000339_00000339.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000339_00000339.txt
t_p_120_1176:t_p_120_1176_p000340,t_p_120_1176,T.P. 120/1176,25-21-00,340,1277,,,t_p_120_1176,000340,http://localhost:8080/rescarta/t_p_120_1176/000340,http://localhost:8080/rescarta/t_p_120_1176/000340,local_data\rescarta_exports\t_p_120_1176\pages\000340_00000340.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000340_00000340.txt
t_p_120_1176:t_p_120_1176_p000341,t_p_120_1176,T.P. 120/1176,25-21-00,341,1278,,,t_p_120_1176,000341,http://localhost:8080/rescarta/t_p_120_1176/000341,http://localhost:8080/rescarta/t_p_120_1176/000341,local_data\rescarta_exports\t_p_120_1176\pages\000341_00000341.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000341_00000341.txt
t_p_120_1176:t_p_120_1176_p000342,t_p_120_1176,T.P. 120/1176,25-21-00,342,1279,,,t_p_120_1176,000342,http://localhost:8080/rescarta/t_p_120_1176/000342,http://localhost:8080/rescarta/t_p_120_1176/000342,local_data\rescarta_exports\t_p_120_1176\pages\000342_00000342.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000342_00000342.txt
t_p_120_1176:t_p_120_1176_p000343,t_p_120_1176,T.P. 120/1176,25-21-00,343,1280,,,t_p_120_1176,000343,http://localhost:8080/rescarta/t_p_120_1176/000343,http://localhost:8080/rescarta/t_p_120_1176/000343,local_data\rescarta_exports\t_p_120_1176\pages\000343_00000343.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000343_00000343.txt
t_p_120_1176:t_p_120_1176_p000344,t_p_120_1176,T.P. 120/1176,25-21-00,344,1281,,,t_p_120_1176,000344,http://localhost:8080/rescarta/t_p_120_1176/000344,http://localhost:8080/rescarta/t_p_120_1176/000344,local_data\rescarta_exports\t_p_120_1176\pages\000344_00000344.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000344_00000344.txt
t_p_120_1176:t_p_120_1176_p000345,t_p_120_1176,T.P. 120/1176,25-21-00,345,1282,,,t_p_120_1176,000345,http://localhost:8080/rescarta/t_p_120_1176/000345,http://localhost:8080/rescarta/t_p_120_1176/000345,local_data\rescarta_exports\t_p_120_1176\pages\000345_00000345.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000345_00000345.txt
t_p_120_1176:t_p_120_1176_p000346,t_p_120_1176,T.P. 120/1176,25-21-00,346,1283,,,t_p_120_1176,000346,http://localhost:8080/rescarta/t_p_120_1176/000346,http://localhost:8080/rescarta/t_p_120_1176/000346,local_data\rescarta_exports\t_p_120_1176\pages\000346_00000346.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000346_00000346.txt
t_p_120_1176:t_p_120_1176_p000347,t_p_120_1176,T.P. 120/1176,25-21-00,347,1284,,,t_p_120_1176,000347,http://localhost:8080/rescarta/t_p_120_1176/000347,http://localhost:8080/rescarta/t_p_120_1176/000347,local_data\rescarta_exports\t_p_120_1176\pages\000347_00000347.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000347_00000347.txt
t_p_120_1176:t_p_120_1176_p000348,t_p_120_1176,T.P. 120/1176,25-21-00,348,1285,,,t_p_120_1176,000348,http://localhost:8080/rescarta/t_p_120_1176/000348,http://localhost:8080/rescarta/t_p_120_1176/000348,local_data\rescarta_exports\t_p_120_1176\pages\000348_00000348.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000348_00000348.txt
t_p_120_1176:t_p_120_1176_p000349,t_p_120_1176,T.P. 120/1176,25-21-00,349,1286,,,t_p_120_1176,000349,http://localhost:8080/rescarta/t_p_120_1176/000349,http://localhost:8080/rescarta/t_p_120_1176/000349,local_data\rescarta_exports\t_p_120_1176\pages\000349_00000349.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000349_00000349.txt
t_p_120_1176:t_p_120_1176_p000350,t_p_120_1176,T.P. 120/1176,25-21-00,350,1287,,,t_p_120_1176,000350,http://localhost:8080/rescarta/t_p_120_1176/000350,http://localhost:8080/rescarta/t_p_120_1176/000350,local_data\rescarta_exports\t_p_120_1176\pages\000350_00000350.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000350_00000350.txt
t_p_120_1176:t_p_120_1176_p000351,t_p_120_1176,T.P. 120/1176,25-21-00,351,1288,,,t_p_120_1176,000351,http://localhost:8080/rescarta/t_p_120_1176/000351,http://localhost:8080/rescarta/t_p_120_1176/000351,local_data\rescarta_exports\t_p_120_1176\pages\000351_00000351.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000351_00000351.txt
t_p_120_1176:t_p_120_1176_p000352,t_p_120_1176,T.P. 120/1176,25-21-00,352,1289,,,t_p_120_1176,000352,http://localhost:8080/rescarta/t_p_120_1176/000352,http://localhost:8080/rescarta/t_p_120_1176/000352,local_data\rescarta_exports\t_p_120_1176\pages\000352_00000352.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000352_00000352.txt
t_p_120_1176:t_p_120_1176_p000353,t_p_120_1176,T.P. 120/1176,25-21-00,353,1290,,,t_p_120_1176,000353,http://localhost:8080/rescarta/t_p_120_1176/000353,http://localhost:8080/rescarta/t_p_120_1176/000353,local_data\rescarta_exports\t_p_120_1176\pages\000353_00000353.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000353_00000353.txt
t_p_120_1176:t_p_120_1176_p000354,t_p_120_1176,T.P. 120/1176,25-21-00,354,1291,,,t_p_120_1176,000354,http://localhost:8080/rescarta/t_p_120_1176/000354,http://localhost:8080/rescarta/t_p_120_1176/000354,local_data\rescarta_exports\t_p_120_1176\pages\000354_00000354.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000354_00000354.txt
t_p_120_1176:t_p_120_1176_p000355,t_p_120_1176,T.P. 120/1176,25-21-00,355,1292,,,t_p_120_1176,000355,http://localhost:8080/rescarta/t_p_120_1176/000355,http://localhost:8080/rescarta/t_p_120_1176/000355,local_data\rescarta_exports\t_p_120_1176\pages\000355_00000355.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000355_00000355.txt
t_p_120_1176:t_p_120_1176_p000356,t_p_120_1176,T.P. 120/1176,25-21-00,356,1293,,,t_p_120_1176,000356,http://localhost:8080/rescarta/t_p_120_1176/000356,http://localhost:8080/rescarta/t_p_120_1176/000356,local_data\rescarta_exports\t_p_120_1176\pages\000356_00000356.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000356_00000356.txt
t_p_120_1176:t_p_120_1176_p000357,t_p_120_1176,T.P. 120/1176,25-21-00,357,1294,,,t_p_120_1176,000357,http://localhost:8080/rescarta/t_p_120_1176/000357,http://localhost:8080/rescarta/t_p_120_1176/000357,local_data\rescarta_exports\t_p_120_1176\pages\000357_00000357.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000357_00000357.txt
t_p_120_1176:t_p_120_1176_p000358,t_p_120_1176,T.P. 120/1176,25-21-00,358,1295,,,t_p_120_1176,000358,http://localhost:8080/rescarta/t_p_120_1176/000358,http://localhost:8080/rescarta/t_p_120_1176/000358,local_data\rescarta_exports\t_p_120_1176\pages\000358_00000358.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000358_00000358.txt
t_p_120_1176:t_p_120_1176_p000359,t_p_120_1176,T.P. 120/1176,25-21-00,359,1296,,,t_p_120_1176,000359,http://localhost:8080/rescarta/t_p_120_1176/000359,http://localhost:8080/rescarta/t_p_120_1176/000359,local_data\rescarta_exports\t_p_120_1176\pages\000359_00000359.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000359_00000359.txt
t_p_120_1176:t_p_120_1176_p000360,t_p_120_1176,T.P. 120/1176,25-21-00,360,1297,,,t_p_120_1176,000360,http://localhost:8080/rescarta/t_p_120_1176/000360,http://localhost:8080/rescarta/t_p_120_1176/000360,local_data\rescarta_exports\t_p_120_1176\pages\000360_00000360.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000360_00000360.txt
t_p_120_1176:t_p_120_1176_p000361,t_p_120_1176,T.P. 120/1176,25-21-00,361,1298,,,t_p_120_1176,000361,http://localhost:8080/rescarta/t_p_120_1176/000361,http://localhost:8080/rescarta/t_p_120_1176/000361,local_data\rescarta_exports\t_p_120_1176\pages\000361_00000361.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000361_00000361.txt
t_p_120_1176:t_p_120_1176_p000362,t_p_120_1176,T.P. 120/1176,25-21-00,362,1299,,,t_p_120_1176,000362,http://localhost:8080/rescarta/t_p_120_1176/000362,http://localhost:8080/rescarta/t_p_120_1176/000362,local_data\rescarta_exports\t_p_120_1176\pages\000362_00000362.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000362_00000362.txt
t_p_120_1176:t_p_120_1176_p000363,t_p_120_1176,T.P. 120/1176,25-21-00,363,1300,,,t_p_120_1176,000363,http://localhost:8080/rescarta/t_p_120_1176/000363,http://localhost:8080/rescarta/t_p_120_1176/000363,local_data\rescarta_exports\t_p_120_1176\pages\000363_00000363.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000363_00000363.txt
t_p_120_1176:t_p_120_1176_p000364,t_p_120_1176,T.P. 120/1176,25-21-00,364,1301,,,t_p_120_1176,000364,http://localhost:8080/rescarta/t_p_120_1176/000364,http://localhost:8080/rescarta/t_p_120_1176/000364,local_data\rescarta_exports\t_p_120_1176\pages\000364_00000364.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000364_00000364.txt
t_p_120_1176:t_p_120_1176_p000365,t_p_120_1176,T.P. 120/1176,25-21-00,365,1302,,,t_p_120_1176,000365,http://localhost:8080/rescarta/t_p_120_1176/000365,http://localhost:8080/rescarta/t_p_120_1176/000365,local_data\rescarta_exports\t_p_120_1176\pages\000365_00000365.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000365_00000365.txt
t_p_120_1176:t_p_120_1176_p000366,t_p_120_1176,T.P. 120/1176,25-21-00,366,1303,,,t_p_120_1176,000366,http://localhost:8080/rescarta/t_p_120_1176/000366,http://localhost:8080/rescarta/t_p_120_1176/000366,local_data\rescarta_exports\t_p_120_1176\pages\000366_00000366.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000366_00000366.txt
t_p_120_1176:t_p_120_1176_p000367,t_p_120_1176,T.P. 120/1176,25-21-00,367,1304,,,t_p_120_1176,000367,http://localhost:8080/rescarta/t_p_120_1176/000367,http://localhost:8080/rescarta/t_p_120_1176/000367,local_data\rescarta_exports\t_p_120_1176\pages\000367_00000367.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000367_00000367.txt
t_p_120_1176:t_p_120_1176_p000368,t_p_120_1176,T.P. 120/1176,25-21-00,368,1305,,,t_p_120_1176,000368,http://localhost:8080/rescarta/t_p_120_1176/000368,http://localhost:8080/rescarta/t_p_120_1176/000368,local_data\rescarta_exports\t_p_120_1176\pages\000368_00000368.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000368_00000368.txt
