page_number,page_id,legacy_route,primary_route,secondary_routes,route_confidence_score,route_confidence_band,auto_resolved,multi_route_required,validator_required,do_not_embed,candidate_routes,route_reasons,validator_contracts,ocr_text_word_count,part_number_count,source_member,source_image_path,ocr_text_path
468,t_p_120_1176_p000468,table,procedure_or_description,"[""mixed_text_and_figure""]",82.0,medium,False,True,True,True,"[""procedure_or_description"", ""mixed_text_and_figure""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan"", ""mixed_text_visual_split_scan""]",327,0,00000468.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000468.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000468.txt
469,t_p_120_1176_p000469,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",159,0,00000469.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000469.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000469.txt
470,t_p_120_1176_p000470,normal_text,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",198,0,00000470.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000470.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000470.txt
471,t_p_120_1176_p000471,table,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",216,0,00000471.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000471.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000471.txt
472,t_p_120_1176_p000472,table,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",327,0,00000472.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000472.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000472.txt
473,t_p_120_1176_p000473,normal_text,procedure_or_description,[],62.0,low,False,True,True,True,"[""procedure_or_description""]","[""procedure_terms_and_prose_density""]","[""procedure_description_context_scan""]",231,0,00000473.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000473.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000473.txt
474,t_p_120_1176_p000474,normal_text,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",75,0,00000474.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000474.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000474.txt
475,t_p_120_1176_p000475,table,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",287,0,00000475.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000475.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000475.txt
476,t_p_120_1176_p000476,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",219,3,00000476.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000476.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000476.txt
477,t_p_120_1176_p000477,table,procedure_or_description,"[""mixed_text_and_figure""]",82.0,medium,False,True,True,True,"[""procedure_or_description"", ""mixed_text_and_figure""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan"", ""mixed_text_visual_split_scan""]",339,0,00000477.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000477.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000477.txt
