page_number,page_id,legacy_route,primary_route,secondary_routes,route_confidence_score,route_confidence_band,auto_resolved,multi_route_required,validator_required,do_not_embed,candidate_routes,route_reasons,validator_contracts,ocr_text_word_count,part_number_count,source_member,source_image_path,ocr_text_path
1,t_p_120_1176_p000001,table,cover_or_title_page,[],100.0,high,True,False,False,False,"[""cover_or_title_page"", ""table_or_index""]","[""first_page_strong_publication_identity""]","[""front_matter_identity_scan""]",63,0,00000001.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000001.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000001.txt
2,t_p_120_1176_p000002,blank_candidate,blank_candidate,[],98.0,high,True,False,False,True,"[""blank_candidate""]","[""empty_or_near_empty_ocr_low_signal""]","[""blank_candidate_confirmation_scan""]",0,0,00000002.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000002.tif,
3,t_p_120_1176_p000003,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",175,113,00000003.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000003.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000003.txt
4,t_p_120_1176_p000004,normal_text,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",128,0,00000004.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000004.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000004.txt
5,t_p_120_1176_p000005,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",397,0,00000005.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000005.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000005.txt
6,t_p_120_1176_p000006,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",417,0,00000006.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000006.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000006.txt
7,t_p_120_1176_p000007,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",374,0,00000007.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000007.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000007.txt
8,t_p_120_1176_p000008,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",368,0,00000008.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000008.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000008.txt
9,t_p_120_1176_p000009,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",373,0,00000009.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000009.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000009.txt
10,t_p_120_1176_p000010,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",364,0,00000010.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000010.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000010.txt
11,t_p_120_1176_p000011,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",264,0,00000011.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000011.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000011.txt
12,t_p_120_1176_p000012,blank_candidate,blank_candidate,[],98.0,high,True,False,False,True,"[""blank_candidate""]","[""empty_or_near_empty_ocr_low_signal""]","[""blank_candidate_confirmation_scan""]",0,0,00000012.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000012.tif,
13,t_p_120_1176_p000013,normal_text,table_or_index,[],82.0,medium,False,False,True,True,"[""table_or_index""]","[""table_or_index_terms""]","[""table_ocr_table_candidate_scan""]",84,0,00000013.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000013.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000013.txt
14,t_p_120_1176_p000014,normal_text,review_required,[],0.0,low,False,True,True,True,[],"[""no_route_met_medium_confidence_threshold""]","[""validator_gated_review_resolution_scan""]",75,0,00000014.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000014.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000014.txt
15,t_p_120_1176_p000015,table,procedure_or_description,"[""mixed_text_and_figure""]",82.0,medium,False,True,True,True,"[""procedure_or_description"", ""mixed_text_and_figure""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan"", ""mixed_text_visual_split_scan""]",305,0,00000015.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000015.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000015.txt
16,t_p_120_1176_p000016,normal_text,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",223,0,00000016.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000016.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000016.txt
17,t_p_120_1176_p000017,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",39,0,00000017.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000017.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000017.txt
18,t_p_120_1176_p000018,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",43,0,00000018.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000018.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000018.txt
19,t_p_120_1176_p000019,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",53,0,00000019.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000019.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000019.txt
20,t_p_120_1176_p000020,table,table_or_index,"[""procedure_or_description""]",90.0,high,True,False,False,False,"[""table_or_index"", ""procedure_or_description""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan"", ""procedure_description_context_scan""]",273,0,00000020.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000020.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000020.txt
21,t_p_120_1176_p000021,table,normal_text,[],70.0,medium,False,False,True,True,"[""normal_text"", ""table_or_index""]","[""paragraph_text_low_structured_signals""]","[""normal_text_page_context_scan""]",237,0,00000021.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000021.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000021.txt
22,t_p_120_1176_p000022,table,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",192,0,00000022.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000022.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000022.txt
23,t_p_120_1176_p000023,table,procedure_or_description,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""procedure_or_description"", ""table_or_index""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan"", ""table_ocr_table_candidate_scan""]",287,0,00000023.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000023.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000023.txt
24,t_p_120_1176_p000024,table,normal_text,[],70.0,medium,False,False,True,True,"[""normal_text"", ""table_or_index""]","[""paragraph_text_low_structured_signals""]","[""normal_text_page_context_scan""]",116,0,00000024.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000024.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000024.txt
25,t_p_120_1176_p000025,blank_candidate,blank_candidate,[],98.0,high,True,False,False,True,"[""blank_candidate""]","[""empty_or_near_empty_ocr_low_signal""]","[""blank_candidate_confirmation_scan""]",0,0,00000025.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000025.tif,
26,t_p_120_1176_p000026,normal_text,review_required,[],0.0,low,False,True,True,True,[],"[""no_route_met_medium_confidence_threshold""]","[""validator_gated_review_resolution_scan""]",20,0,00000026.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000026.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000026.txt
27,t_p_120_1176_p000027,table,table_or_index,[],74.0,medium,False,False,True,True,"[""table_or_index""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",303,0,00000027.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000027.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000027.txt
28,t_p_120_1176_p000028,table,table_or_index,[],74.0,medium,False,False,True,True,"[""table_or_index""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",305,0,00000028.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000028.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000028.txt
29,t_p_120_1176_p000029,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",281,5,00000029.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000029.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000029.txt
30,t_p_120_1176_p000030,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",268,20,00000030.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000030.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000030.txt
31,t_p_120_1176_p000031,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",246,28,00000031.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000031.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000031.txt
32,t_p_120_1176_p000032,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",220,20,00000032.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000032.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000032.txt
33,t_p_120_1176_p000033,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",304,5,00000033.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000033.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000033.txt
34,t_p_120_1176_p000034,table,table_or_index,[],74.0,medium,False,False,True,True,"[""table_or_index""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",70,2,00000034.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000034.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000034.txt
35,t_p_120_1176_p000035,blank_candidate,blank_candidate,[],98.0,high,True,False,False,True,"[""blank_candidate""]","[""empty_or_near_empty_ocr_low_signal""]","[""blank_candidate_confirmation_scan""]",0,0,00000035.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000035.tif,
36,t_p_120_1176_p000036,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",264,16,00000036.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000036.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000036.txt
37,t_p_120_1176_p000037,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",300,6,00000037.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000037.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000037.txt
38,t_p_120_1176_p000038,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",276,11,00000038.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000038.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000038.txt
39,t_p_120_1176_p000039,table,detailed_parts_list,[],82.0,medium,False,False,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan""]",308,8,00000039.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000039.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000039.txt
40,t_p_120_1176_p000040,table,detailed_parts_list,[],82.0,medium,False,False,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan""]",297,9,00000040.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000040.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000040.txt
41,t_p_120_1176_p000041,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",319,3,00000041.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000041.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000041.txt
42,t_p_120_1176_p000042,table,detailed_parts_list,[],82.0,medium,False,False,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan""]",293,8,00000042.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000042.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000042.txt
43,t_p_120_1176_p000043,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",292,15,00000043.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000043.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000043.txt
44,t_p_120_1176_p000044,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",274,10,00000044.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000044.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000044.txt
45,t_p_120_1176_p000045,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",308,7,00000045.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000045.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000045.txt
46,t_p_120_1176_p000046,table,detailed_parts_list,[],82.0,medium,False,False,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan""]",283,8,00000046.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000046.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000046.txt
47,t_p_120_1176_p000047,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",264,7,00000047.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000047.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000047.txt
48,t_p_120_1176_p000048,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",287,3,00000048.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000048.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000048.txt
49,t_p_120_1176_p000049,table,table_or_index,"[""detailed_parts_list""]",74.0,low,False,True,True,True,"[""table_or_index"", ""detailed_parts_list""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan"", ""detailed_parts_list_extraction_scan""]",295,2,00000049.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000049.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000049.txt
50,t_p_120_1176_p000050,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",268,16,00000050.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000050.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000050.txt
51,t_p_120_1176_p000051,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",280,7,00000051.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000051.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000051.txt
52,t_p_120_1176_p000052,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",293,3,00000052.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000052.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000052.txt
53,t_p_120_1176_p000053,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",281,6,00000053.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000053.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000053.txt
54,t_p_120_1176_p000054,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",288,5,00000054.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000054.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000054.txt
55,t_p_120_1176_p000055,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",282,6,00000055.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000055.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000055.txt
56,t_p_120_1176_p000056,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",285,11,00000056.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000056.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000056.txt
57,t_p_120_1176_p000057,table,detailed_parts_list,"[""table_or_index""]",82.0,medium,False,True,True,True,"[""detailed_parts_list"", ""table_or_index""]","[""part_numbers_with_ipl_structure""]","[""detailed_parts_list_extraction_scan"", ""table_ocr_table_candidate_scan""]",294,3,00000057.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000057.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000057.txt
58,t_p_120_1176_p000058,table,table_or_index,"[""detailed_parts_list""]",74.0,low,False,True,True,True,"[""table_or_index"", ""detailed_parts_list""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan"", ""detailed_parts_list_extraction_scan""]",289,0,00000058.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000058.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000058.txt
59,t_p_120_1176_p000059,table,table_or_index,"[""detailed_parts_list""]",74.0,low,False,True,True,True,"[""table_or_index"", ""detailed_parts_list""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan"", ""detailed_parts_list_extraction_scan""]",291,0,00000059.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000059.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000059.txt
60,t_p_120_1176_p000060,table,table_or_index,"[""detailed_parts_list""]",74.0,low,False,True,True,True,"[""table_or_index"", ""detailed_parts_list""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan"", ""detailed_parts_list_extraction_scan""]",292,0,00000060.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000060.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000060.txt
61,t_p_120_1176_p000061,table,table_or_index,"[""detailed_parts_list""]",74.0,low,False,True,True,True,"[""table_or_index"", ""detailed_parts_list""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan"", ""detailed_parts_list_extraction_scan""]",285,0,00000061.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000061.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000061.txt
62,t_p_120_1176_p000062,table,table_or_index,[],74.0,medium,False,False,True,True,"[""table_or_index""]","[""row_structure_without_high_part_density"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",289,0,00000062.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000062.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000062.txt
