evidence_id,page_id,page_number,route,targets,retrieval_score,retrieval_reasons,source_member,raw_tiff_reference,source_image_sha256,ocr_excerpt,part_numbers,answer_permission,source_truth_mutation_allowed
E1,t_p_120_1176_p000005,5,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000005.tif,00000005.tif,8980a6e91d7cc2f40a8510315d8610595243d7033621c00bdaec782a41aa1e7b,,[],False,False
E2,t_p_120_1176_p000045,45,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000045.tif,00000045.tif,53cdcd406800ffd8f8c7f062ababe097a6126caa647f8522e563a824f52d46ef,,[],False,False
E3,t_p_120_1176_p000055,55,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000055.tif,00000055.tif,be1a6d7a948bf87c345c9f3bc171ce7de6ac33be440ab0bebe8005f081b6e5ef,,[],False,False
E4,t_p_120_1176_p000065,65,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000065.tif,00000065.tif,9e653b24af5bea3cdab6210cb3985630680286d970799032d5dd8f6cebfadbf8,,[],False,False
E5,t_p_120_1176_p000075,75,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000075.tif,00000075.tif,6cee623c93733cfafb8f8096590ce5ee89535c43db33fcfb57d88fc5eed7e300,,[],False,False
E6,t_p_120_1176_p000085,85,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000085.tif,00000085.tif,107a00213b8870401e892812265b591de047ab379fd694679f3f04a2115e0b40,,[],False,False
E7,t_p_120_1176_p000095,95,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000095.tif,00000095.tif,54b2346051107a572f935aa3f05eab3c311fc239faf077a2e00119753ee5cc7d,,[],False,False
E8,t_p_120_1176_p000105,105,table,"['opensearch', 'postgres_graph', 'qdrant']",100,"['table_route', 'exact_index_ready', 'semantic_index_ready']",00000105.tif,00000105.tif,d6b387f0d300288ce3109a81d79d8719d4620d2b300525643b57bc4e7a4095af,,[],False,False
