page_id,page_number,route,source_member,raw_tiff_reference,source_image_sha256,storage_decision,targets,payload_ids,part_number_count,ocr_char_count,answer_permission,source_truth_mutation_allowed,retrieval_score,retrieval_reasons,ocr_excerpt,citation
t_p_120_1176_p000358,358,table,00000358.tif,00000358.tif,5045f3b1697df049dca6838e7b7e52c37c1b7e4b09cf97af8915c02f43d3966c,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000358::qdrant::0001"", ""t_p_120_1176_p000358::opensearch::0001""]",7,1000,False,False,157,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts,use"", ""table_route_relevant_to_part_query"", ""part_number_density:7""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM| PARTNUMBER | STOCK Meuse eODE. FROM | PER NUMBER TO ASSY 84 - | 120-29067-015 STRUCTURE ASSY ...0....eececcecerteeetereteees VS4956 A REF - | 120-29067-025 STRUCTURE ASSY ...0....eececcecerteeetereteees VS4956 B REF - | 120-29067-035 STRUCTURE ASSY ...00...eccceerreeretrerttees VS4956 | 172/999} REF 1 | 120-29073-001 . STRUCTURE,…","{""page_id"": ""t_p_120_1176_p000358"", ""page_number"": 358, ""source_image_sha256"": ""5045f3b1697df049dca6838e7b7e52c37c1b7e4b09cf97af8915c02f43d3966c"", ""source_member"": ""00000358.tif""}"
t_p_120_1176_p000346,346,table,00000346.tif,00000346.tif,8dffe9dfc0a70ffa55b76d4a4157e51d6d3635cfc3d0eff4d34d9ccb2027c9a8,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000346::qdrant::0001"", ""t_p_120_1176_p000346::opensearch::0001""]",6,1000,False,False,152,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:6""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM; PER NUMBER TO ASSY 80 - | 120-29067-019 STRUCTURE ASSY ......cccccceeeeeeeeeeeeeeeeees VS4956 A REF - | 120-29067-029 STRUCTURE ASSY ......cccccceeeeeeeeeeeeeeeeees VS4956 | 172/999] REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG ................ VS4956 A 1 -2 | 120-29073-005 . STRUCTURE, LATERA…","{""page_id"": ""t_p_120_1176_p000346"", ""page_number"": 346, ""source_image_sha256"": ""8dffe9dfc0a70ffa55b76d4a4157e51d6d3635cfc3d0eff4d34d9ccb2027c9a8"", ""source_member"": ""00000346.tif""}"
t_p_120_1176_p000349,349,table,00000349.tif,00000349.tif,11cfde31bc0dcd5b7c9a44fbc66a10de79d383d50d75723269b9d23714c8e9eb,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000349::qdrant::0001"", ""t_p_120_1176_p000349::opensearch::0001""]",7,1000,False,False,152,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:7""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST FIG. ITEM PART NUMBER ‘STOCK vase EODE. FROM PER NUMBER TO ASSY 81 - | 120-29067-003 STRUCTURE ASSY .........ccccccceeeeeeeeeeeeeas VS4956 A REF - | 120-29067-021 STRUCTURE ASSY .........ccccccceeeeeeeeeeeeeas VS4956 B REF - | 120-29067-031 STRUCTURE ASSY .........ccccccceeeeeeeeeeeeeas VS4956 | 172/999} REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG..........…","{""page_id"": ""t_p_120_1176_p000349"", ""page_number"": 349, ""source_image_sha256"": ""11cfde31bc0dcd5b7c9a44fbc66a10de79d383d50d75723269b9d23714c8e9eb"", ""source_member"": ""00000349.tif""}"
t_p_120_1176_p000361,361,table,00000361.tif,00000361.tif,b1912dbb2412f854c0be734a6d5d34d5297078f29c78d144edb5f388617e99a1,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000361::qdrant::0001"", ""t_p_120_1176_p000361::opensearch::0001""]",8,1000,False,False,152,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:8""]","€ emenncn MAINTENANCE MANUAL WITH T.P. 120/1176 ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM PER NUMBER TO ASSY 85 - | 120-29067-017 STRUCTURE ASSY.....0... cece VS4956 A REF - | 120-29067-027 STRUCTURE ASSY.....0... cece VS4956 B REF - | 120-29067-037 STRUCTURE ASSY....0... cece VS4956 | 172/999 REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG............. VS4956 | 035/171 1…","{""page_id"": ""t_p_120_1176_p000361"", ""page_number"": 361, ""source_image_sha256"": ""b1912dbb2412f854c0be734a6d5d34d5297078f29c78d144edb5f388617e99a1"", ""source_member"": ""00000361.tif""}"
t_p_120_1176_p000343,343,table,00000343.tif,00000343.tif,203c3d8ab9741c517ba0527da601cf614889e4b5529ee79135c0244aa571fcd5,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000343::qdrant::0001"", ""t_p_120_1176_p000343::opensearch::0001""]",5,1000,False,False,151,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:5""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM | PER NUMBER TO ASSY 79 - | 120-29067-001 STRUCTURE ASSY ......cccccccceceeeeeeeeeeeeees VS4956 A REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG. ................. VS4956 1 ATTACHING PARTS 10 | PE21052-2 W PIN, ATTACH............ccccceccseceeeeeeeeeeeeeseeennees 1 20 | 42952-10 / FITTING, ATTACH…","{""page_id"": ""t_p_120_1176_p000343"", ""page_number"": 343, ""source_image_sha256"": ""203c3d8ab9741c517ba0527da601cf614889e4b5529ee79135c0244aa571fcd5"", ""source_member"": ""00000343.tif""}"
t_p_120_1176_p000352,352,table,00000352.tif,00000352.tif,f57395f3d4b3da8c2a6d158dfbe2fa11097633d421a1b47534de15d3c291e980,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000352::qdrant::0001"", ""t_p_120_1176_p000352::opensearch::0001""]",5,1000,False,False,151,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:5""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM; PER NUMBER TO ASSY 82 - | 120-29067-005 STRUCTURE ASSY ......cccccceeeeeeeeeeeeeeeeees VS4956 A REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG ................ VS4956 1 ATTACHING PARTS 10 | PE21052-2 / PIN, ATTACH... cccccccccceentstttstseeeeeeeees 1 20 | 42952-10 . FITTING, ATTACH ....... cc. c…","{""page_id"": ""t_p_120_1176_p000352"", ""page_number"": 352, ""source_image_sha256"": ""f57395f3d4b3da8c2a6d158dfbe2fa11097633d421a1b47534de15d3c291e980"", ""source_member"": ""00000352.tif""}"
t_p_120_1176_p000355,355,table,00000355.tif,00000355.tif,ff773b54c549a6db61ec2a63d0050ffb3375daa8155305ff9119fdb6f6f7f611,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000355::qdrant::0001"", ""t_p_120_1176_p000355::opensearch::0001""]",4,1000,False,False,151,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:4""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM | PER NUMBER TO ASSY 83 - | 120-29067-023 STRUCTURE ASSY ......cccccccceceeeeeeeeeeeeees VS4956 A REF - | 120-29067-033 STRUCTURE ASSY ......cccccccceceeeeeeeeeeeeees VS4956 | 172/999] REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG............0064 VS4956 A 1 -2 | 120-29073-005 . STRUCTURE, LATERA…","{""page_id"": ""t_p_120_1176_p000355"", ""page_number"": 355, ""source_image_sha256"": ""ff773b54c549a6db61ec2a63d0050ffb3375daa8155305ff9119fdb6f6f7f611"", ""source_member"": ""00000355.tif""}"
t_p_120_1176_p000364,364,table,00000364.tif,00000364.tif,66ddcacd6b979413f9ebce6282c3be170c783b1a89c913d52839c440c77eb852,validated_graph_semantic_and_exact_index,"[""qdrant"", ""opensearch""]","[""t_p_120_1176_p000364::qdrant::0001"", ""t_p_120_1176_p000364::opensearch::0001""]",5,1000,False,False,151,"[""matched_part_number:120-29073-001"", ""matched_query_terms:120-29073-001,and,number,part,parts"", ""table_route_relevant_to_part_query"", ""part_number_density:5""]","€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK ease eODE. FROM | PER NUMBER TO ASSY 86 - | 120-29067-007 STRUCTURE ASSY ........cccccceteeseeeeeeeees VS4956 A REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG...............0.... VS4956 1 ATTACHING PARTS 10 | PE21052-2 / PIN, ATTACH 20.0... ccccccceceecceeeeeeeeeeeeeeeeeees 1 20 | 42952-10 . FITTING, ATTACH ....…","{""page_id"": ""t_p_120_1176_p000364"", ""page_number"": 364, ""source_image_sha256"": ""66ddcacd6b979413f9ebce6282c3be170c783b1a89c913d52839c440c77eb852"", ""source_member"": ""00000364.tif""}"
