level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	31	2	1062	2395	113	39	96.748550	1376
5	1	1	1	31	3	1385	2393	93	52	95.599144	Sep
5	1	1	1	31	4	1498	2394	132	40	95.599144	30/98
4	1	1	1	32	0	447	2468	1183	51	-1	
5	1	1	1	32	1	447	2468	158	40	89.830391	25-IPL
5	1	1	1	32	2	1012	2468	18	17	92.399628	*
5	1	1	1	32	3	1062	2469	113	39	96.493538	1377
5	1	1	1	32	4	1379	2468	86	51	94.491440	Apr
5	1	1	1	32	5	1501	2468	129	40	94.491440	10/06
4	1	1	1	33	0	447	2541	1183	51	-1	
5	1	1	1	33	1	447	2541	158	40	89.830391	25-IPL
5	1	1	1	33	2	1012	2541	18	17	92.917900	*
5	1	1	1	33	3	1062	2542	113	39	96.325874	1378
5	1	1	1	33	4	1379	2541	86	51	94.491440	Apr
5	1	1	1	33	5	1501	2541	129	40	94.491440	10/06
4	1	1	1	34	0	447	2614	1183	41	-1	
5	1	1	1	34	1	447	2614	158	40	89.830391	25-IPL
5	1	1	1	34	2	1062	2615	114	39	96.777176	1379
5	1	1	1	34	3	1412	2614	64	41	96.185226	Jul
5	1	1	1	34	4	1501	2614	129	40	96.665482	15/02
4	1	1	1	35	0	447	2687	1183	52	-1	
5	1	1	1	35	1	447	2688	158	40	89.830391	25-IPL
5	1	1	1	35	2	1062	2689	113	39	96.549500	1380
5	1	1	1	35	3	1385	2687	93	52	95.599144	Sep
5	1	1	1	35	4	1498	2688	132	40	95.599144	30/98
4	1	1	1	36	0	447	2761	1183	51	-1	
5	1	1	1	36	1	447	2761	158	40	89.830391	25-IPL
5	1	1	1	36	2	1012	2761	18	17	92.611633	*
5	1	1	1	36	3	1062	2762	106	39	95.260094	1381
5	1	1	1	36	4	1379	2761	86	51	94.491440	Apr
5	1	1	1	36	5	1501	2761	129	40	94.491440	10/06
4	1	1	1	37	0	447	2834	1183	51	-1	
5	1	1	1	37	1	447	2834	158	40	89.830391	25-IPL
5	1	1	1	37	2	1012	2834	18	17	93.040932	*
5	1	1	1	37	3	1062	2835	113	39	96.532593	1382
5	1	1	1	37	4	1379	2834	86	51	94.491440	Apr
5	1	1	1	37	5	1501	2834	129	40	94.491440	10/06
4	1	1	1	38	0	447	2906	1183	52	-1	
5	1	1	1	38	1	447	2907	158	40	89.830391	25-IPL
5	1	1	1	38	2	1062	2908	113	39	96.730103	1383
5	1	1	1	38	3	1385	2906	93	52	95.599144	Sep
5	1	1	1	38	4	1498	2907	132	40	95.599144	30/98
4	1	1	1	39	0	447	2980	1183	52	-1	
5	1	1	1	39	1	447	2981	158	40	89.830391	25-IPL
5	1	1	1	39	2	1062	2982	113	39	96.604179	1384
5	1	1	1	39	3	1385	2980	93	52	95.599144	Sep
5	1	1	1	39	4	1498	2981	132	40	95.599144	30/98
4	1	1	1	40	0	447	3053	1183	52	-1	
5	1	1	1	40	1	447	3054	158	40	89.830391	25-IPL
5	1	1	1	40	2	1062	3055	113	39	96.951416	1385
5	1	1	1	40	3	1385	3053	93	52	95.599144	Sep
5	1	1	1	40	4	1498	3054	132	40	95.599144	30/98
4	1	1	1	41	0	447	3126	1183	52	-1	
5	1	1	1	41	1	447	3127	158	40	89.830391	25-IPL
5	1	1	1	41	2	1062	3128	113	39	96.860001	1386
5	1	1	1	41	3	1385	3126	93	52	95.599144	Sep
5	1	1	1	41	4	1498	3127	132	40	95.599144	30/98
4	1	1	1	42	0	447	3200	1183	52	-1	
5	1	1	1	42	1	447	3201	158	40	89.830391	25-IPL
5	1	1	1	42	2	1062	3202	113	39	96.293343	1387
5	1	1	1	42	3	1385	3200	93	52	95.599144	Sep
5	1	1	1	42	4	1498	3201	132	40	95.599144	30/98
4	1	1	1	43	0	447	3273	1183	52	-1	
5	1	1	1	43	1	447	3274	158	40	89.830391	25-IPL
5	1	1	1	43	2	1062	3275	113	39	96.709137	1388
5	1	1	1	43	3	1385	3273	93	52	95.599144	Sep
5	1	1	1	43	4	1498	3274	132	40	95.599144	30/98
4	1	1	1	44	0	447	3347	1176	41	-1	
5	1	1	1	44	1	447	3347	158	40	89.830391	25-IPL
5	1	1	1	44	2	1062	3348	113	39	96.713676	1389
5	1	1	1	44	3	1393	3347	83	41	96.874077	Jan
5	1	1	1	44	4	1501	3347	122	40	96.313927	15/01
4	1	1	1	45	0	447	3420	1176	41	-1	
5	1	1	1	45	1	447	3420	158	40	89.830391	25-IPL
5	1	1	1	45	2	1062	3421	113	39	96.617729	1390
5	1	1	1	45	3	1393	3420	83	41	96.874077	Jan
5	1	1	1	45	4	1501	3420	122	40	96.313927	15/01
4	1	1	1	46	0	449	3579	2517	51	-1	
5	1	1	1	46	1	449	3579	151	51	96.111679	Pages
5	1	1	1	46	2	625	3579	170	40	96.325020	revised
5	1	1	1	46	3	820	3589	48	30	96.703041	or
5	1	1	1	46	4	889	3579	148	40	96.148422	added
5	1	1	1	46	5	1064	3579	53	51	96.237122	by
5	1	1	1	46	6	1138	3579	75	40	96.237122	the
5	1	1	1	46	7	1237	3580	167	39	96.530357	current
5	1	1	1	46	8	1430	3579	182	40	96.319649	revision
5	1	1	1	46	9	1637	3589	76	30	96.811844	are
5	1	1	1	46	10	1738	3579	213	40	96.158714	indicated
5	1	1	1	46	11	1979	3579	53	51	96.158714	by
5	1	1	1	46	12	2055	3589	56	30	95.729172	an
5	1	1	1	46	13	2137	3579	187	40	90.612900	asterisk
5	1	1	1	46	14	2347	3579	65	51	89.678413	(*).
5	1	1	1	46	15	2441	3579	150	51	96.734268	Pages
5	1	1	1	46	16	2615	3579	175	40	96.580933	deleted
5	1	1	1	46	17	2817	3579	53	51	96.968132	by
5	1	1	1	46	18	2891	3579	75	40	96.737984	the
4	1	1	1	47	0	447	3654	2483	51	-1	
5	1	1	1	47	1	447	3655	168	39	94.975182	current
5	1	1	1	47	2	635	3654	182	40	96.657104	revision
5	1	1	1	47	3	838	3664	76	30	96.872017	are
5	1	1	1	47	4	934	3654	213	40	96.555763	indicated
5	1	1	1	47	5	1170	3654	52	51	96.541084	by
5	1	1	1	47	6	1242	3654	104	51	92.629318	(del)
5	1	1	1	47	7	1366	3654	30	40	92.629318	*.
5	1	1	1	47	8	1420	3654	150	51	96.323685	Pages
5	1	1	1	47	9	1589	3654	176	40	95.748611	deleted
5	1	1	1	47	10	1788	3654	52	51	96.679695	by
5	1	1	1	47	11	1857	3654	75	40	96.230583	the
5	1	1	1	47	12	1953	3654	202	51	95.641747	previous
5	1	1	1	47	13	2191	3654	182	40	95.281349	revision
5	1	1	1	47	14	2394	3664	75	30	95.281349	are
5	1	1	1	47	15	2505	3654	213	40	96.217216	indicated
5	1	1	1	47	16	2741	3654	52	51	96.827393	by
5	1	1	1	47	17	2813	3654	117	51	95.333786	(del).
4	1	1	1	48	0	1567	3722	1390	70	-1	
5	1	1	1	48	1	1567	3722	334	70	90.034943	25-LIST
5	1	1	1	48	2	1934	3722	121	70	95.787155	OF
5	1	1	1	48	3	2094	3722	507	69	95.290833	EFFECTIVE
5	1	1	1	48	4	2639	3722	318	70	95.290833	PAGES
4	1	1	1	49	0	2745	3840	213	51	-1	
5	1	1	1	49	1	2745	3840	123	51	96.722672	Page
5	1	1	1	49	2	2887	3840	71	40	96.689529	7/8
4	1	1	1	50	0	2226	3911	732	51	-1	
5	1	1	1	50	1	2226	3911	94	40	89.377785	T.P.
5	1	1	1	50	2	2346	3911	221	40	91.624077	120/1176
5	1	1	1	50	3	2723	3911	86	51	96.685638	Apr
5	1	1	1	50	4	2829	3911	129	40	96.266594	10/06
