source_visual_citation_label,linked_part_number,figure,visual_page_number,selected_nomenclature,selected_nomenclature_confidence,selected_ocr_page_number,selected_ocr_page_id,selected_line_text,source_trace_ready
V6,120-50645-005,69,315,DOUBLE PASSENGER SEAT ASSY,HIGH,316,t_p_120_1176_p000316,69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF,True
V7,120-50645-011,75,327,DOUBLE PASSENGER SEAT ASSY,HIGH,328,t_p_120_1176_p000328,75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF,True
V8,120-29068-003,91,382,STRUCTURE ASSY 00,HIGH,384,t_p_120_1176_p000384,91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF,True
